Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
500207,INDORAMA,B,47.59,50.50,47.59,49.66,5309,2.64,99
533644,UJAAS,T,2.06,2.19,2.05,2.15,125407,2.63,75
506184,KANANIIND,T,7.55,8.00,7.42,7.58,34807,2.63,91
523019,BNRSEC,X,39.95,40.00,39.22,39.85,6620,2.63,79
532455,SHALIWIR,XT,19.25,20.14,18.50,19.29,13920,2.62,77
500143,PHCAP,X,59.00,62.50,59.00,61.48,4410,2.61,19
542934,CBPL,M,130.00,130.00,130.00,130.00,2000,2.60,1
543319,AAPLUSTRAD,M,15.60,16.90,15.60,16.90,16000,2.60,2
506248,AMNPLST,X,93.23,93.23,90.51,91.01,2829,2.59,71
507435,KHODAY,Z,80.75,84.78,76.72,84.78,3116,2.59,46
531552,RAGHUTOB,X,19.19,19.60,18.30,18.54,13823,2.58,108
526211,SURJIND,X,109.50,113.95,109.00,109.40,2333,2.58,60
530201,KALLAM,X,9.35,9.35,9.00,9.06,28574,2.58,109
540023,COLORCHIPS,X,7.00,7.18,7.00,7.05,36629,2.58,243
507912,LKPFIN,X,75.00,77.63,75.00,77.25,3394,2.58,46
541302,DHRUV,B,49.46,49.90,48.80,49.25,5174,2.56,61
512217,PRISMMEDI,XT,24.70,24.73,24.30,24.73,10384,2.56,42
513511,PANCHMAHQ,X,141.00,141.00,127.30,129.50,1971,2.55,31
540874,7SEASL,XT,27.00,27.00,25.80,25.81,9620,2.54,29
543671,AAATECH,B,54.47,56.00,54.08,54.75,4602,2.54,75
538961,GENUSPAPER,B,13.81,14.12,13.81,14.01,18082,2.54,265
531694,RAINBOWF,X,9.81,10.45,9.31,9.50,25844,2.53,63
533761,GPTINFRA,T,61.85,65.15,61.85,65.04,3902,2.53,22
523011,WEIZMANIND,T,94.00,102.99,94.00,99.95,2558,2.52,26
531737,GREENCREST,XT,0.66,0.66,0.64,0.64,388403,2.51,385
523391,NAHARPOLY,B,249.70,251.55,245.15,246.75,1008,2.51,46
506734,MYSORPETRO,X,125.80,125.80,120.50,120.90,2066,2.51,28
505807,ROLCOEN,P,558.90,559.65,555.00,559.65,450,2.51,9
526817,CHEVIOT,B,1190.10,1190.10,1179.15,1184.40,211,2.50,79
541337,MILEFUR,M,6.09,6.15,5.78,5.79,42000,2.50,13
542758,ICICIBANKP,B,223.73,230.50,223.73,229.29,1091,2.50,186
540612,ICICILOVOL,B,154.44,157.53,154.44,156.72,1588,2.49,150
538713,ATISHAY,X,33.75,35.54,33.01,33.69,7359,2.49,74
539217,SRESTHA,X,1.12,1.18,1.10,1.11,219882,2.49,143
590041,KAVVERITEL,T,8.49,8.49,8.45,8.45,29463,2.49,74
526827,SPICEISL,XT,17.10,18.89,17.10,17.10,14498,2.48,8
532828,AMDIND,T,69.45,69.45,67.01,67.18,3660,2.48,55
540702,LASA,B,22.62,23.34,22.50,22.78,10800,2.48,78
512587,ZODJRDMKJ,X,33.99,35.50,32.65,34.17,7378,2.48,33
532738,TANTIACONS,Z,16.30,16.30,15.49,16.10,15547,2.47,37
530881,ABVL,XT,167.00,167.00,154.10,162.00,1594,2.47,75
